lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,2.2138,365.97,558.58,958,241
4,4.6796,784.15,1036.93,957,241
5,4.6671,773.49,1004.06,956,241
6,3.6363,608.01,868.08,955,241
7,2.8751,488.93,800.02,954,241
8,4.13,694.47,999.74,953,241
9,4.1552,703.2,1074.4,952,241
10,6.6209,1117.38,1488.51,951,241
11,5.6318,960.77,1339.26,950,241
12,8.4134,1419.08,1834.55,949,241
13,7.5936,1277.37,1683.11,948,241
14,7.6797,1297.12,1678.01,947,241
15,5.8592,989.47,1360.24,946,241
16,5.9608,990.39,1258.39,945,241
17,8.3112,1409.21,1885.13,944,241
18,9.6995,1624.21,2050.58,943,241
19,9.5456,1623.36,2130.88,942,241
20,11.6303,1941.2,2379.15,941,241
21,9.7199,1620.88,2008.52,940,241
22,6.1577,1051.89,1474.52,939,241
23,15.2773,2556.23,3114.52,938,241
24,6.1904,1039.72,1347.18,937,241
25,13.3034,2237.36,2784.3,936,241
26,7.0274,1176.04,1524.52,935,241
27,6.5643,1095.85,1381.91,934,241
28,5.9389,993.64,1285.3,933,241
29,6.8378,1155.23,1540.7,932,241
30,8.3429,1406.33,1840.86,931,241
31,4.9891,834.81,1131.78,930,241
32,5.9302,1002.14,1345.04,929,241
33,8.5338,1462.39,2000.53,928,241
34,13.4632,2242.82,2730.77,927,241
35,9.7559,1636.79,2078.95,926,241
36,9.1722,1552.0,2025.75,925,241
37,6.9224,1154.61,1475.77,924,241
38,5.1041,853.0,1141.88,923,241
39,6.8095,1135.96,1440.45,922,241
40,7.6945,1274.82,1562.44,921,241
41,4.8623,829.8,1181.47,920,241
42,6.5571,1093.69,1404.07,919,241
43,7.5946,1273.36,1640.64,918,241
44,6.215,1042.29,1392.93,917,241
45,6.7895,1122.35,1388.68,916,241
46,7.2308,1207.04,1512.01,915,241
47,5.3645,900.6,1216.75,914,241
48,8.1893,1365.37,1713.87,913,241
49,5.5937,933.71,1229.91,912,241
50,7.9421,1318.14,1630.61,911,241
51,8.2808,1362.92,1639.87,910,241
52,13.8309,2301.29,2767.73,909,241
53,5.6312,944.88,1262.69,908,241
54,8.551,1433.62,1846.19,907,241
55,4.5966,784.55,1113.62,906,241
56,8.5754,1417.62,1724.4,905,241
57,5.8976,1002.07,1386.92,904,241
58,8.5325,1447.16,1912.55,903,241
59,6.6216,1114.26,1455.12,902,241
60,5.0783,858.88,1158.08,901,241
