lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,6.7731,344.51,441.57,556,140
4,6.7902,349.83,449.58,555,140
5,7.235,374.39,471.85,554,140
6,7.703,395.04,504.37,553,140
7,13.029,601.71,748.07,552,140
8,8.3425,424.95,550.13,551,140
9,8.8564,448.97,590.2,550,140
10,9.362,468.86,608.93,549,140
11,10.0878,503.4,660.96,548,140
12,10.0504,504.02,656.34,547,140
13,28.48,1245.07,1571.51,546,140
14,9.1551,456.14,603.12,545,140
15,10.7728,523.3,682.23,544,140
16,8.5167,426.38,556.88,543,140
17,10.2316,496.66,651.15,542,140
18,9.5635,473.11,616.73,541,140
19,12.7662,601.39,771.02,540,140
20,11.8954,557.73,721.51,539,140
21,11.617,556.88,728.63,538,140
22,12.8194,606.74,790.21,537,140
23,10.924,522.98,679.38,536,140
24,11.8902,570.34,739.41,535,140
25,11.8576,558.58,714.35,534,140
26,9.4001,465.9,601.76,533,140
27,11.5455,538.05,695.02,532,140
28,12.3935,591.88,773.15,531,140
29,16.8743,761.56,977.28,530,140
30,11.4126,540.74,695.86,529,140
31,10.4911,503.07,650.41,528,140
32,12.0616,559.44,721.04,527,140
33,11.5608,545.14,704.13,526,140
34,14.5738,677.43,851.66,525,140
35,10.5112,506.84,658.82,524,140
36,9.9524,471.12,606.12,523,140
37,8.7457,429.29,560.8,522,140
38,9.8576,473.42,609.14,521,140
39,10.4706,495.21,639.64,520,140
40,12.1533,563.7,729.44,519,140
41,10.3458,498.8,642.4,518,140
42,8.7991,437.86,575.0,517,140
43,13.2206,612.23,794.72,516,140
44,19.3188,870.51,1071.75,515,140
45,9.1847,452.0,591.28,514,140
46,13.8907,662.82,837.74,513,140
47,19.0962,842.52,1079.26,512,140
48,9.8763,479.73,627.94,511,140
49,21.7139,964.62,1201.13,510,140
50,13.3959,625.2,801.89,509,140
51,10.9516,531.89,709.35,508,140
52,11.8777,550.31,708.38,507,140
53,9.8973,483.9,630.51,506,140
54,14.236,661.99,844.77,505,140
55,23.7846,1046.95,1314.85,504,140
56,10.4957,518.81,683.3,503,140
57,13.3745,634.25,796.83,502,140
58,11.1408,526.52,681.57,501,140
59,10.6335,502.94,647.11,500,140
60,12.0168,575.27,745.65,499,140
