lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,3.3957,116.76,163.16,957,240
4,7.4973,256.32,309.04,956,240
5,3.1681,109.39,147.98,955,240
6,4.4623,151.93,198.1,954,240
7,3.0801,107.97,145.76,953,240
8,3.4965,121.27,159.59,952,240
9,5.3124,190.4,238.47,951,240
10,2.993,103.94,139.31,950,240
11,4.5829,161.42,198.05,949,240
12,3.8559,136.79,182.39,948,240
13,5.7152,202.12,241.18,947,240
14,3.8493,136.15,180.28,946,240
15,4.2994,152.49,190.73,945,240
16,3.6716,126.99,160.44,944,240
17,3.9829,141.82,185.03,943,240
18,4.9214,171.6,208.54,942,240
19,6.461,226.96,262.93,941,240
20,7.3718,259.64,297.81,940,240
21,5.2944,187.93,228.77,939,240
22,3.8741,135.56,175.7,938,240
23,4.7067,165.85,202.68,937,240
24,7.7495,273.71,315.29,936,240
25,5.3656,189.93,233.16,935,240
26,6.0746,215.44,257.12,934,240
27,4.414,155.63,198.64,933,240
28,2.9023,100.69,134.99,932,240
29,8.0046,281.16,317.57,931,240
30,6.0642,216.34,258.98,930,240
31,6.3073,222.51,260.98,929,240
32,7.8572,276.89,315.75,928,240
33,7.3745,259.1,298.94,927,240
34,6.525,234.04,287.91,926,240
35,8.1565,288.47,331.02,925,240
36,7.5856,268.05,311.1,924,240
37,6.0063,212.66,251.81,923,240
38,5.8216,206.17,244.73,922,240
39,5.3716,189.01,228.01,921,240
40,5.9085,210.92,256.63,920,240
41,7.2009,254.26,295.58,919,240
42,7.786,276.14,318.99,918,240
43,5.7966,205.77,253.48,917,240
44,3.84,135.89,174.5,916,240
45,4.2796,153.51,201.14,915,240
46,6.24,221.03,260.25,914,240
47,7.4001,261.3,310.59,913,240
48,3.0005,105.38,141.63,912,240
49,6.515,231.64,274.95,911,240
50,4.1569,147.1,186.82,910,240
51,4.366,154.28,190.64,909,240
52,4.172,147.82,190.24,908,240
53,6.3972,227.0,273.5,907,240
54,3.802,135.02,172.84,906,240
55,6.8776,242.96,282.02,905,240
56,8.6551,304.74,343.52,904,240
57,4.594,160.76,198.89,903,240
58,5.6111,197.84,235.89,902,240
59,5.5394,197.42,239.5,901,240
60,6.9924,248.54,291.34,900,240
