lookback,train_seq,test_seq,epochs_run,mae_idr,rmse_idr,mape_pct
3,957,240,43,128.55,178.11,1.7871
4,956,240,25,133.35,185.09,1.8661
5,955,240,36,140.14,204.99,1.9254
6,954,240,38,150.07,206.84,2.0918
7,953,240,33,156.3,224.8,2.1483
8,952,240,41,154.45,216.05,2.121
9,951,240,49,164.85,224.5,2.278
10,950,240,20,193.81,255.33,2.6794
11,949,240,36,164.94,236.16,2.2758
12,948,240,48,157.08,219.93,2.1648
13,947,240,14,190.32,257.86,2.6341
14,946,240,80,128.16,175.6,1.7584
15,945,240,19,186.4,278.78,2.5342
16,944,240,53,166.51,231.63,2.3224
17,943,240,40,177.6,250.29,2.4738
18,942,240,62,144.94,210.08,1.9949
19,941,240,13,244.13,302.21,3.408
20,940,240,22,179.75,255.16,2.4712
21,939,240,65,164.37,232.98,2.2523
22,938,240,80,127.73,179.89,1.7545
23,937,240,45,168.07,235.55,2.3313
24,936,240,43,172.46,232.77,2.3941
25,935,240,29,198.47,254.11,2.7529
26,934,240,47,183.3,248.18,2.5062
27,933,240,60,167.95,217.17,2.3072
28,932,240,22,227.4,290.26,3.198
29,931,240,80,126.51,171.01,1.7448
30,930,240,80,134.03,188.1,1.8289
31,929,240,45,156.72,222.47,2.1492
32,928,240,53,173.16,233.04,2.3744
33,927,240,54,151.34,220.58,2.091
34,926,240,23,171.07,235.2,2.3907
35,925,240,22,182.81,257.37,2.5087
36,924,240,14,186.98,263.03,2.576
37,923,240,72,130.83,184.31,1.8064
38,922,240,70,135.54,196.37,1.8497
39,921,240,80,116.51,160.62,1.5934
40,920,240,80,135.06,196.37,1.854
41,919,240,39,166.55,223.81,2.3107
42,918,240,37,161.39,237.79,2.2007
43,917,240,58,118.72,175.63,1.6099
44,916,240,80,115.53,166.22,1.5735
45,915,240,29,190.79,261.87,2.6286
46,914,240,38,173.83,248.33,2.3778
47,913,240,37,172.67,240.94,2.3857
48,912,240,80,114.62,161.81,1.5632
49,911,240,29,161.21,243.28,2.177
50,910,240,80,118.5,159.04,1.6304
51,909,240,80,125.66,177.23,1.722
52,908,240,48,154.54,230.56,2.1053
53,907,240,53,152.38,205.7,2.1018
54,906,240,80,144.51,199.7,1.9883
55,905,240,50,162.85,232.57,2.2366
56,904,240,71,125.8,172.06,1.7427
57,903,240,13,325.07,382.51,4.6494
58,902,240,61,145.37,205.04,2.009
59,901,240,69,161.74,209.12,2.2486
60,900,240,80,125.78,181.74,1.7215
