lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,1.1493,19.81,27.49,958,241
4,1.4463,25.05,32.79,957,241
5,1.2055,20.74,28.89,956,241
6,1.3513,23.31,31.67,955,241
7,1.1918,20.62,28.22,954,241
8,1.401,24.29,32.26,953,241
9,1.2858,22.29,30.16,952,241
10,1.1885,20.47,28.51,951,241
11,1.2628,21.86,29.44,950,241
12,1.225,21.23,28.65,949,241
13,1.2382,21.46,28.75,948,241
14,1.1969,20.55,28.31,947,241
15,1.3118,22.8,31.04,946,241
16,1.2208,21.02,29.15,945,241
17,1.1099,19.14,27.03,944,241
18,1.0846,18.72,26.44,943,241
19,2.0756,36.31,43.52,942,241
20,1.4156,24.54,32.06,941,241
21,1.1827,20.3,28.08,940,241
22,1.4725,25.34,33.79,939,241
23,1.5121,26.36,33.7,938,241
24,1.2302,21.32,28.51,937,241
25,1.1358,19.61,27.62,936,241
26,1.2801,22.08,30.48,935,241
27,1.3396,23.24,31.81,934,241
28,1.235,21.41,28.89,933,241
29,1.2397,21.44,29.44,932,241
30,1.6172,28.19,35.86,931,241
31,1.3092,22.69,30.1,930,241
32,1.3776,23.58,31.61,929,241
33,1.254,21.75,29.65,928,241
34,1.1014,18.97,26.92,927,241
35,1.2134,20.95,29.77,926,241
36,1.2759,22.18,29.73,925,241
37,1.5141,25.92,34.15,924,241
38,1.7015,29.85,38.09,923,241
39,1.1328,19.57,27.47,922,241
40,1.12,19.35,27.31,921,241
41,1.2823,22.31,29.78,920,241
42,1.1982,20.6,28.26,919,241
43,1.112,19.15,27.03,918,241
44,1.3565,23.58,30.59,917,241
45,1.3489,23.49,30.73,916,241
46,1.1633,19.99,27.54,915,241
47,1.55,27.03,34.17,914,241
48,1.1739,20.32,27.64,913,241
49,1.2307,21.32,28.74,912,241
50,1.7106,29.86,37.11,911,241
51,2.0053,35.14,42.25,910,241
52,1.141,19.65,27.57,909,241
53,1.2417,21.44,29.45,908,241
54,1.6664,29.02,36.4,907,241
55,1.4831,25.74,32.59,906,241
56,1.5094,26.23,34.11,905,241
57,1.1057,19.07,26.91,904,241
58,1.3215,22.9,30.53,903,241
59,1.347,23.43,30.67,902,241
60,1.18,20.4,28.32,901,241
