lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,3.8362,29.72,45.0,958,241
4,3.1414,24.7,37.83,957,241
5,3.6808,28.87,42.35,956,241
6,3.8931,30.44,44.73,955,241
7,3.8926,30.36,45.83,954,241
8,3.6445,28.59,42.84,953,241
9,3.2691,25.99,39.17,952,241
10,3.2444,26.17,37.9,951,241
11,3.2614,25.98,38.36,950,241
12,3.5894,28.23,41.68,949,241
13,3.9388,30.22,48.41,948,241
14,2.9955,24.18,35.54,947,241
15,2.6728,22.28,31.2,946,241
16,3.5686,27.83,43.91,945,241
17,2.8807,23.49,34.68,944,241
18,3.3528,26.56,40.12,943,241
19,3.3935,26.64,41.28,942,241
20,3.2835,25.97,40.37,941,241
21,3.3108,26.08,39.81,940,241
22,3.3835,26.51,41.09,939,241
23,3.1096,25.24,36.59,938,241
24,4.5097,34.4,53.62,937,241
25,3.0453,24.78,35.58,936,241
26,4.1841,32.06,50.37,935,241
27,3.3324,26.56,39.57,934,241
28,3.4734,27.24,41.54,933,241
29,2.8518,23.55,33.89,932,241
30,4.0828,31.53,47.93,931,241
31,3.4418,27.06,40.6,930,241
32,3.4639,27.27,41.47,929,241
33,3.0946,25.23,36.17,928,241
34,2.9501,23.9,34.69,927,241
35,3.2281,25.79,38.23,926,241
36,3.5149,27.78,42.04,925,241
37,2.5724,21.96,30.52,924,241
38,3.9224,30.3,47.38,923,241
39,3.5336,27.8,41.85,922,241
40,2.7842,22.76,33.21,921,241
41,3.7943,29.43,45.7,920,241
42,3.5694,28.3,41.66,919,241
43,3.2255,25.71,37.3,918,241
44,3.3746,26.49,41.24,917,241
45,3.2042,25.7,37.59,916,241
46,3.5943,28.29,43.1,915,241
47,3.4345,27.16,41.1,914,241
48,3.6182,28.26,44.08,913,241
49,3.5433,27.78,42.42,912,241
50,3.1748,25.5,37.35,911,241
51,3.107,24.82,37.27,910,241
52,3.2848,26.04,39.7,909,241
53,2.888,23.58,34.17,908,241
54,3.6054,28.11,43.32,907,241
55,4.0229,31.12,47.68,906,241
56,3.6954,28.87,44.87,905,241
57,3.2903,26.02,39.39,904,241
58,3.2359,25.75,38.49,903,241
59,2.6904,22.19,31.73,902,241
60,3.4744,27.29,42.4,901,241
