lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,1.901,22.51,30.96,958,241
4,2.023,24.11,31.57,957,241
5,2.3279,27.36,34.63,956,241
6,1.9384,23.1,31.1,955,241
7,1.9508,23.22,31.53,954,241
8,2.4174,28.62,36.31,953,241
9,2.0383,24.23,32.26,952,241
10,2.0557,24.36,32.27,951,241
11,2.1158,25.06,33.14,950,241
12,2.2477,26.52,34.9,949,241
13,2.8985,33.59,43.22,948,241
14,2.616,30.27,36.71,947,241
15,2.058,24.68,33.24,946,241
16,2.1598,25.5,34.22,945,241
17,2.1881,25.58,33.66,944,241
18,2.1449,25.2,32.58,943,241
19,2.4573,29.38,39.02,942,241
20,2.7979,32.62,38.97,941,241
21,1.9651,23.4,32.12,940,241
22,2.4712,28.94,38.26,939,241
23,2.7363,31.52,38.44,938,241
24,2.3815,27.67,34.76,937,241
25,2.1868,25.67,33.74,936,241
26,2.7057,31.21,38.15,935,241
27,2.1731,25.53,33.94,934,241
28,2.1139,24.98,33.72,933,241
29,1.9735,23.53,31.42,932,241
30,2.118,25.3,34.63,931,241
31,3.6917,42.05,49.14,930,241
32,3.808,43.89,50.52,929,241
33,3.1767,36.68,43.19,928,241
34,2.2838,26.79,34.45,927,241
35,2.2588,26.42,33.67,926,241
36,2.115,25.14,34.06,925,241
37,2.31,27.06,35.68,924,241
38,2.0041,23.89,32.06,923,241
39,2.2827,26.79,34.51,922,241
40,2.1707,25.3,33.16,921,241
41,2.205,25.81,32.74,920,241
42,2.4468,28.41,35.32,919,241
43,2.9964,34.53,41.16,918,241
44,2.2295,26.14,33.2,917,241
45,3.6173,41.18,48.14,916,241
46,2.1951,25.74,34.11,915,241
47,2.9917,34.58,41.33,914,241
48,2.1715,25.78,34.49,913,241
49,1.9819,23.56,31.88,912,241
50,2.1488,25.15,32.94,911,241
51,3.3497,38.22,46.18,910,241
52,3.0635,35.16,42.07,909,241
53,3.8002,43.6,51.39,908,241
54,2.4506,28.43,36.74,907,241
55,3.1871,36.5,43.3,906,241
56,3.8503,44.08,50.69,905,241
57,2.1275,25.15,33.78,904,241
58,2.0756,24.46,32.64,903,241
59,2.038,24.04,31.86,902,241
60,2.6758,31.17,38.13,901,241
