lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,2.8011,13.63,16.35,958,241
4,2.2571,11.16,14.37,957,241
5,2.241,11.1,14.12,956,241
6,2.7227,13.3,16.18,955,241
7,4.156,20.19,23.49,954,241
8,3.2477,15.63,18.37,953,241
9,2.8649,14.05,17.5,952,241
10,2.6385,13.0,16.22,951,241
11,3.435,16.81,20.28,950,241
12,2.0895,10.48,14.53,949,241
13,2.8405,13.95,17.32,948,241
14,2.5307,12.35,15.79,947,241
15,2.288,11.32,14.79,946,241
16,2.8675,13.92,16.49,945,241
17,3.3482,16.09,18.78,944,241
18,4.4336,21.12,24.4,943,241
19,3.7173,17.86,20.59,942,241
20,4.1661,19.9,22.41,941,241
21,3.2057,15.42,18.21,940,241
22,2.6283,12.81,15.53,939,241
23,2.9642,14.47,17.62,938,241
24,2.159,10.62,13.88,937,241
25,3.4535,16.73,19.99,936,241
26,2.4382,11.98,15.01,935,241
27,5.0587,24.07,26.28,934,241
28,2.7629,13.39,16.1,933,241
29,2.9719,14.38,17.1,932,241
30,2.7984,13.61,16.37,931,241
31,3.1676,15.37,18.34,930,241
32,2.8137,13.71,16.66,929,241
33,3.6466,17.51,20.39,928,241
34,3.7441,18.02,20.89,927,241
35,2.6507,12.86,15.7,926,241
36,3.3885,16.35,19.08,925,241
37,2.4,11.74,14.98,924,241
38,3.0785,14.85,18.24,923,241
39,4.0098,19.18,21.83,922,241
40,3.2275,15.66,18.57,921,241
41,2.5856,12.43,15.65,920,241
42,2.9949,14.43,17.22,919,241
43,2.5941,12.82,16.3,918,241
44,2.3394,11.42,14.62,917,241
45,2.4325,11.93,15.05,916,241
46,5.1914,24.58,27.3,915,241
47,3.5406,17.08,19.48,914,241
48,3.5523,17.05,19.51,913,241
49,3.1403,15.28,18.04,912,241
50,3.0708,14.98,18.47,911,241
51,3.2659,15.68,18.46,910,241
52,2.9393,14.29,17.01,909,241
53,2.5032,12.26,15.63,908,241
54,4.2745,20.33,23.01,907,241
55,3.5676,16.93,19.45,906,241
56,3.5227,17.08,19.74,905,241
57,3.4942,16.75,19.44,904,241
58,3.3519,15.96,18.96,903,241
59,4.494,21.63,24.57,902,241
60,2.6419,12.86,16.38,901,241
