lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,2.4943,21.03,29.61,958,241
4,2.8886,25.03,33.25,957,241
5,3.1929,27.53,36.03,956,241
6,3.0526,26.31,35.86,955,241
7,3.046,26.22,35.13,954,241
8,3.9299,34.73,43.88,953,241
9,6.6621,59.73,70.94,952,241
10,3.8876,34.27,43.3,951,241
11,3.9296,34.56,43.28,950,241
12,4.2395,36.98,48.06,949,241
13,4.9746,43.75,53.24,948,241
14,4.8971,43.61,52.65,947,241
15,3.7868,33.45,42.79,946,241
16,6.1218,54.52,66.42,945,241
17,5.7538,50.7,62.14,944,241
18,6.1777,54.95,65.97,943,241
19,6.8776,61.33,73.02,942,241
20,5.9345,52.48,63.01,941,241
21,5.1004,45.42,54.33,940,241
22,4.4983,39.83,49.52,939,241
23,5.6449,50.18,60.17,938,241
24,4.6435,41.25,51.1,937,241
25,5.1499,45.46,55.35,936,241
26,4.8089,42.69,52.59,935,241
27,10.6662,95.85,108.75,934,241
28,6.9233,61.45,72.94,933,241
29,4.6117,40.95,51.01,932,241
30,4.772,42.0,52.49,931,241
31,3.5946,31.49,40.96,930,241
32,4.7798,41.94,52.17,929,241
33,4.3064,38.21,47.72,928,241
34,7.9518,70.14,80.64,927,241
35,11.2807,101.14,113.67,926,241
36,7.6186,67.51,78.13,925,241
37,6.436,56.48,66.99,924,241
38,5.8235,51.3,62.23,923,241
39,4.2173,37.38,46.91,922,241
40,3.7852,33.28,42.22,921,241
41,3.9193,34.56,44.18,920,241
42,4.8853,43.59,53.69,919,241
43,4.0672,36.06,45.55,918,241
44,5.3631,48.0,58.03,917,241
45,9.1648,81.95,93.51,916,241
46,4.3669,38.82,48.62,915,241
47,4.4188,38.88,48.01,914,241
48,5.1672,46.06,56.33,913,241
49,3.7796,33.43,42.62,912,241
50,4.7307,41.6,51.66,911,241
51,4.3798,38.62,48.38,910,241
52,4.3331,38.03,47.36,909,241
53,6.0327,53.36,64.58,908,241
54,8.7673,78.21,89.59,907,241
55,4.4422,39.46,49.36,906,241
56,4.529,40.3,50.14,905,241
57,5.258,46.11,55.82,904,241
58,3.3544,29.47,38.37,903,241
59,4.8276,42.95,52.8,902,241
60,4.712,41.0,51.82,901,241
