lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,6.3718,48.64,61.23,956,240
4,4.7827,35.89,48.8,955,240
5,5.7772,43.32,55.69,954,240
6,8.6699,65.79,79.19,953,240
7,11.5387,87.17,99.51,952,240
8,7.8068,59.5,76.55,951,240
9,6.8762,51.83,64.6,950,240
10,10.3086,78.16,91.33,949,240
11,16.0227,120.77,133.0,948,240
12,12.1285,91.8,105.75,947,240
13,14.3739,107.81,119.8,946,240
14,17.1882,128.85,140.09,945,240
15,4.1796,30.94,43.08,944,240
16,13.9222,105.03,116.95,943,240
17,14.4051,107.8,117.63,942,240
18,10.4202,78.96,91.22,941,240
19,12.4215,93.47,105.71,940,240
20,10.059,77.04,95.43,939,240
21,9.4191,71.44,85.25,938,240
22,5.6673,42.43,55.91,937,240
23,8.266,62.7,76.92,936,240
24,17.0379,127.2,138.1,935,240
25,10.6771,80.99,96.97,934,240
26,11.4932,86.2,97.39,933,240
27,9.2395,69.71,83.54,932,240
28,13.5664,101.98,113.5,931,240
29,10.2873,77.14,87.89,930,240
30,10.9748,82.25,94.4,929,240
31,5.8493,43.9,56.92,928,240
32,11.4693,86.48,99.39,927,240
33,4.5521,34.0,48.29,926,240
34,5.7111,43.24,57.57,925,240
35,6.8438,51.88,64.53,924,240
36,11.0205,82.84,93.93,923,240
37,9.1455,69.07,80.45,922,240
38,12.2227,91.83,102.44,921,240
39,6.9516,52.73,65.58,920,240
40,5.4855,41.64,55.82,919,240
41,11.4444,85.91,97.32,918,240
42,9.8282,73.46,84.47,917,240
43,7.4593,56.37,69.71,916,240
44,10.9908,82.37,94.89,915,240
45,6.4734,48.67,61.68,914,240
46,5.7811,43.45,56.58,913,240
47,11.9213,89.82,102.23,912,240
48,8.2086,61.51,74.25,911,240
49,4.9425,36.97,51.47,910,240
50,8.2016,62.17,77.25,909,240
51,7.7295,58.42,70.43,908,240
52,7.1115,53.69,66.69,907,240
53,4.7466,35.66,49.24,906,240
54,7.9527,59.69,73.28,905,240
55,6.9541,52.53,67.64,904,240
56,4.3746,32.42,45.68,903,240
57,10.4638,78.39,89.84,902,240
58,5.4053,40.79,53.5,901,240
59,12.4288,92.99,103.5,900,240
60,9.9747,75.2,86.4,899,240
