lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,1.0792,1.51,2.28,958,241
4,1.2398,1.74,2.63,957,241
5,0.8945,1.25,1.79,956,241
6,1.1742,1.65,2.3,955,241
7,0.8884,1.24,1.81,954,241
8,0.9014,1.26,1.86,953,241
9,1.0267,1.44,2.14,952,241
10,0.9206,1.29,1.9,951,241
11,0.9061,1.27,1.83,950,241
12,0.9162,1.28,1.87,949,241
13,0.9108,1.28,1.86,948,241
14,0.9284,1.3,1.86,947,241
15,0.9473,1.32,1.88,946,241
16,0.9663,1.36,1.99,945,241
17,1.352,1.91,2.59,944,241
18,0.9535,1.33,1.89,943,241
19,1.7722,2.47,2.98,942,241
20,0.9626,1.34,1.84,941,241
21,0.9716,1.37,2.01,940,241
22,1.0413,1.46,2.11,939,241
23,1.2219,1.72,2.35,938,241
24,0.9001,1.26,1.86,937,241
25,0.9945,1.4,2.03,936,241
26,0.9189,1.29,1.9,935,241
27,1.0809,1.52,2.22,934,241
28,0.9482,1.33,1.93,933,241
29,0.9308,1.3,1.92,932,241
30,0.9438,1.33,1.95,931,241
31,0.9995,1.41,2.09,930,241
32,0.9873,1.38,1.99,929,241
33,0.9312,1.31,1.94,928,241
34,1.5028,2.11,2.74,927,241
35,1.5734,2.23,3.19,926,241
36,0.9478,1.33,1.92,925,241
37,0.936,1.31,1.92,924,241
38,1.0156,1.41,1.94,923,241
39,0.9757,1.37,2.02,922,241
40,0.9368,1.31,1.89,921,241
41,0.9453,1.33,1.94,920,241
42,1.0876,1.53,2.18,919,241
43,0.8949,1.25,1.78,918,241
44,1.2841,1.81,2.46,917,241
45,0.9207,1.29,1.9,916,241
46,0.9254,1.3,1.88,915,241
47,1.0017,1.41,2.07,914,241
48,0.936,1.31,1.85,913,241
49,0.9575,1.34,1.89,912,241
50,1.0754,1.49,1.95,911,241
51,1.3109,1.84,2.49,910,241
52,0.928,1.3,1.89,909,241
53,0.9217,1.29,1.88,908,241
54,0.98,1.38,2.01,907,241
55,0.9802,1.38,2.02,906,241
56,0.9454,1.32,1.85,905,241
57,0.9087,1.27,1.84,904,241
58,0.9918,1.39,2.0,903,241
59,0.9466,1.33,1.93,902,241
60,1.2645,1.78,2.45,901,241
