lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,8.5544,41.32,66.55,541,136
4,9.8612,44.0,67.86,540,136
5,10.6658,53.4,79.73,539,136
6,9.9029,49.54,76.78,538,136
7,11.7007,60.98,94.84,537,136
8,12.0436,61.16,91.95,536,136
9,10.2536,52.08,79.85,535,136
10,11.862,59.45,87.84,534,136
11,12.0778,62.1,93.31,533,136
12,7.9802,39.81,64.35,532,136
13,13.4582,69.44,103.48,531,136
14,13.4062,70.72,106.2,530,136
15,9.733,50.42,79.0,529,136
16,11.5239,53.36,76.46,528,136
17,12.0734,63.71,96.58,527,136
18,10.2391,48.41,72.14,526,136
19,10.1566,49.83,74.76,525,136
20,11.8175,61.04,91.07,524,136
21,12.4286,63.0,92.23,523,136
22,13.7015,68.16,96.23,522,136
23,12.442,62.47,91.4,521,136
24,12.6902,64.78,95.41,520,136
25,12.0306,64.21,97.72,519,136
26,11.7936,61.39,92.0,518,136
27,11.6282,59.88,89.78,517,136
28,14.7677,78.62,117.15,516,136
29,12.7887,67.75,103.44,515,136
30,14.1643,70.85,100.72,514,136
31,13.4671,72.44,111.06,513,136
32,14.4966,72.95,104.97,512,136
33,13.4909,68.89,99.04,511,136
34,16.5596,88.01,131.26,510,136
35,13.8372,68.81,96.93,509,136
36,11.2174,56.27,82.94,508,136
37,12.7033,61.23,85.62,507,136
38,13.4002,69.07,101.7,506,136
39,14.5507,70.38,97.53,505,136
40,14.9359,72.97,103.22,504,136
41,13.8348,63.57,86.52,503,136
42,14.1991,76.0,114.32,502,136
43,14.4905,76.21,111.65,501,136
44,15.1792,79.56,114.84,500,136
45,13.5311,62.86,85.72,499,136
46,13.5696,69.02,98.86,498,136
47,11.9925,60.19,88.13,497,136
48,12.7403,64.11,92.04,496,136
49,17.5232,82.73,114.63,495,136
50,13.954,70.86,101.76,494,136
51,12.2105,57.23,79.51,493,136
52,13.1221,64.83,91.01,492,136
53,14.7097,70.62,98.32,491,136
54,15.7887,75.32,104.51,490,136
55,14.6404,73.88,104.57,489,136
56,11.5477,54.58,76.84,488,136
57,13.5603,66.26,92.03,487,136
58,14.9844,78.36,113.83,486,136
59,13.7583,70.14,101.3,485,136
60,14.1805,71.0,100.2,484,136
