lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,3.3676,40.96,48.63,958,241
4,2.7389,32.83,40.54,957,241
5,2.0408,24.44,35.13,956,241
6,3.2218,38.2,46.44,955,241
7,2.2699,26.87,36.5,954,241
8,2.8572,34.96,46.29,953,241
9,3.8872,44.98,54.69,952,241
10,5.5193,68.08,77.81,951,241
11,6.6151,82.25,95.35,950,241
12,3.6614,45.4,57.12,949,241
13,9.0758,112.44,125.43,948,241
14,3.1832,37.59,47.15,947,241
15,3.2253,39.73,52.25,946,241
16,3.6337,45.05,57.71,945,241
17,3.5873,41.98,53.04,944,241
18,2.5782,30.83,41.77,943,241
19,4.7871,59.69,74.64,942,241
20,3.6388,42.67,53.09,941,241
21,3.4253,42.15,53.27,940,241
22,5.4863,68.21,80.55,939,241
23,6.6551,77.32,90.26,938,241
24,6.5283,80.57,91.52,937,241
25,6.0899,76.41,93.18,936,241
26,7.2645,83.18,95.52,935,241
27,3.0729,37.47,49.51,934,241
28,4.3848,54.13,64.56,933,241
29,5.9434,73.29,83.84,932,241
30,5.4076,68.1,85.54,931,241
31,5.1075,64.34,80.87,930,241
32,8.9371,111.69,128.8,929,241
33,5.8955,73.11,84.02,928,241
34,5.2384,60.41,72.51,927,241
35,6.4902,79.74,88.6,926,241
36,5.4675,63.26,75.61,925,241
37,2.4869,29.94,40.41,924,241
38,3.6537,44.84,58.99,923,241
39,2.5859,31.33,42.35,922,241
40,5.9675,73.82,85.64,921,241
41,3.175,38.76,50.73,920,241
42,4.1688,48.08,60.15,919,241
43,2.7201,33.03,44.19,918,241
44,2.415,29.29,39.7,917,241
45,3.4414,42.28,53.36,916,241
46,8.0422,100.21,115.19,915,241
47,4.5671,52.27,65.57,914,241
48,3.0824,37.62,49.65,913,241
49,4.5947,54.58,63.71,912,241
50,3.7209,44.51,54.65,911,241
51,2.8221,33.44,43.07,910,241
52,5.7632,72.5,90.0,909,241
53,7.123,87.87,98.31,908,241
54,5.2098,63.84,73.37,907,241
55,3.6977,43.21,54.38,906,241
56,4.3276,54.13,68.6,905,241
57,4.0345,49.43,61.88,904,241
58,5.2828,65.48,76.52,903,241
59,6.7498,84.8,102.42,902,241
60,5.4752,67.51,77.97,901,241
