lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,0.6888,6.88,11.34,958,241
4,0.8857,8.8,13.3,957,241
5,0.9496,9.47,14.87,956,241
6,1.0935,11.0,17.62,955,241
7,1.0676,10.71,17.47,954,241
8,1.6388,16.41,22.96,953,241
9,1.0911,10.99,17.57,952,241
10,2.9369,29.27,35.41,951,241
11,1.8588,18.67,26.21,950,241
12,1.7599,17.61,23.72,949,241
13,1.4848,14.94,22.12,948,241
14,1.9878,20.02,28.16,947,241
15,1.5689,15.76,22.69,946,241
16,0.9511,9.53,14.84,945,241
17,1.3702,13.74,21.46,944,241
18,1.3432,13.53,20.7,943,241
19,1.2622,12.68,18.76,942,241
20,1.0864,10.91,16.34,941,241
21,0.9494,9.53,15.0,940,241
22,2.1462,21.59,29.89,939,241
23,2.1531,21.51,27.84,938,241
24,2.0632,20.7,27.91,937,241
25,1.8622,18.73,26.45,936,241
26,2.9172,29.08,35.11,935,241
27,1.922,19.27,26.26,934,241
28,1.0059,10.1,15.75,933,241
29,0.9265,9.32,14.93,932,241
30,1.5266,15.3,21.24,931,241
31,1.301,13.06,18.87,930,241
32,1.6581,16.69,24.28,929,241
33,1.1747,11.81,17.96,928,241
34,1.227,12.36,19.79,927,241
35,1.243,12.52,19.28,926,241
36,3.0381,30.3,36.67,925,241
37,4.7979,47.62,52.84,924,241
38,2.6994,26.98,33.96,923,241
39,1.7351,17.4,23.91,922,241
40,1.3633,13.7,20.3,921,241
41,1.412,14.23,21.54,920,241
42,0.9436,9.44,14.49,919,241
43,1.1476,11.55,18.16,918,241
44,1.4659,14.75,21.94,917,241
45,2.625,26.25,33.22,916,241
46,2.2818,22.96,31.78,915,241
47,2.3739,23.88,32.63,914,241
48,1.3843,13.97,21.77,913,241
49,1.1628,11.68,18.38,912,241
50,1.9302,19.32,25.53,911,241
51,1.264,12.72,19.44,910,241
52,1.3102,13.14,20.5,909,241
53,5.5019,54.65,60.43,908,241
54,1.2043,12.12,18.6,907,241
55,2.1179,21.19,27.67,906,241
56,1.2316,12.37,18.45,905,241
57,2.3441,23.38,29.12,904,241
58,1.0751,10.8,17.09,903,241
59,1.8118,18.08,23.02,902,241
60,1.221,12.27,19.54,901,241
