lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,4.6892,54.03,73.43,595,150
4,5.0021,58.63,80.34,594,150
5,4.9966,57.27,73.25,593,150
6,5.6465,64.14,82.61,592,150
7,5.7881,65.9,81.82,591,150
8,6.1907,74.45,98.11,590,150
9,6.2575,72.82,90.9,589,150
10,5.9256,71.69,95.33,588,150
11,6.9629,84.65,111.92,587,150
12,6.876,85.2,113.36,586,150
13,7.0953,86.34,115.09,585,150
14,10.3093,129.63,167.12,584,150
15,8.7097,109.28,146.9,583,150
16,7.6827,93.07,122.62,582,150
17,8.1361,95.54,121.54,581,150
18,7.4485,89.29,117.25,580,150
19,7.1995,88.46,118.71,579,150
20,7.9283,91.93,116.09,578,150
21,9.5156,118.25,150.34,577,150
22,7.9641,98.36,124.34,576,150
23,8.1451,101.19,130.81,575,150
24,5.899,70.32,92.61,574,150
25,6.6229,80.48,106.34,573,150
26,5.9183,70.54,93.47,572,150
27,7.5257,92.07,120.87,571,150
28,5.8707,70.64,94.99,570,150
29,6.261,75.12,98.99,569,150
30,7.9896,91.33,113.63,568,150
31,6.1075,73.38,97.58,567,150
32,7.1808,82.05,102.44,566,150
33,6.588,76.57,98.29,565,150
34,6.2623,77.26,104.14,564,150
35,6.4435,75.78,99.8,563,150
36,6.732,80.34,105.69,562,150
37,6.7377,80.71,105.71,561,150
38,5.7746,68.85,91.18,560,150
39,5.8131,67.63,87.6,559,150
40,6.1996,72.59,93.77,558,150
41,6.5051,76.17,98.09,557,150
42,6.5643,78.85,104.09,556,150
43,5.7882,68.23,89.86,555,150
44,6.065,72.89,97.42,554,150
45,7.1052,86.95,115.0,553,150
46,6.7737,79.8,103.46,552,150
47,5.7346,67.49,88.5,551,150
48,7.6429,88.28,111.05,550,150
49,5.8798,71.88,97.1,549,150
50,6.4715,77.2,100.98,548,150
51,6.6521,78.01,100.8,547,150
52,6.5629,77.03,99.69,546,150
53,5.8044,69.56,93.96,545,150
54,6.3837,77.74,103.69,544,150
55,6.5372,78.72,103.67,543,150
56,8.052,90.8,109.96,542,150
57,6.4775,75.32,94.95,541,150
58,6.0178,70.22,90.74,540,150
59,7.7784,86.56,103.85,539,150
60,8.6016,97.27,118.24,538,150
