lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,2.0276,20.95,28.34,620,156
4,2.1837,22.48,30.09,619,156
5,2.4149,24.97,32.28,618,156
6,2.2421,22.93,30.97,617,156
7,2.1964,22.55,30.54,616,156
8,2.3132,23.7,31.86,615,156
9,2.1601,22.22,30.53,614,156
10,2.5811,26.82,35.79,613,156
11,2.7615,28.22,37.22,612,156
12,2.3034,23.62,31.82,611,156
13,2.128,21.95,30.15,610,156
14,2.0961,21.46,29.59,609,156
15,2.4506,25.08,33.45,608,156
16,2.601,26.44,34.76,607,156
17,2.1517,22.09,30.26,606,156
18,2.2537,22.95,31.31,605,156
19,2.2416,22.84,31.25,604,156
20,2.257,23.38,31.58,603,156
21,2.7833,28.69,38.01,602,156
22,2.1447,21.97,29.87,601,156
23,2.3666,24.14,32.16,600,156
24,2.5515,25.86,34.66,599,156
25,2.4706,24.98,33.77,598,156
26,2.1833,22.27,30.46,597,156
27,2.3157,23.73,31.82,596,156
28,2.4818,25.21,33.96,595,156
29,2.763,27.97,36.7,594,156
30,2.2074,22.49,31.0,593,156
31,2.1811,22.27,30.46,592,156
32,2.7002,27.31,36.16,591,156
33,2.656,26.8,35.86,590,156
34,2.7548,28.02,37.58,589,156
35,3.0177,31.29,40.69,588,156
36,2.4005,24.47,32.94,587,156
37,2.693,27.25,36.09,586,156
38,2.4159,24.64,33.19,585,156
39,2.6044,26.83,35.4,584,156
40,3.0467,30.52,40.5,583,156
41,2.4434,24.77,33.32,582,156
42,2.4261,24.66,33.22,581,156
43,2.7736,28.06,37.49,580,156
44,2.2996,23.43,31.89,579,156
45,2.229,22.94,31.05,578,156
46,2.3915,24.55,33.11,577,156
47,2.1974,22.35,30.93,576,156
48,2.2359,22.97,31.12,575,156
49,2.3487,23.8,32.56,574,156
50,2.5746,26.0,35.06,573,156
51,2.5307,25.53,34.74,572,156
52,2.3458,23.84,32.25,571,156
53,2.3047,23.65,31.84,570,156
54,3.703,38.0,49.43,569,156
55,2.1826,22.43,30.62,568,156
56,2.5401,26.65,34.89,567,156
57,2.3864,24.27,32.72,566,156
58,2.3656,24.28,32.63,565,156
59,2.5696,26.5,35.19,564,156
60,2.2926,23.41,31.66,563,156
