lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,6.7111,29.72,36.15,956,240
4,7.1545,31.58,37.68,955,240
5,7.2453,32.07,38.45,954,240
6,3.9185,16.66,23.09,953,240
7,5.2933,22.72,29.33,952,240
8,9.0191,39.98,46.42,951,240
9,10.169,44.9,50.65,950,240
10,13.1979,58.28,65.39,949,240
11,11.3676,50.22,56.21,948,240
12,8.7897,38.91,45.07,947,240
13,6.9246,30.77,37.53,946,240
14,16.9403,74.34,81.86,945,240
15,9.0791,40.01,45.81,944,240
16,11.38,50.17,55.84,943,240
17,11.6971,51.47,56.77,942,240
18,12.0391,52.89,57.95,941,240
19,10.5848,46.51,51.85,940,240
20,9.943,43.86,49.53,939,240
21,10.411,46.03,51.99,938,240
22,11.5077,50.38,55.48,937,240
23,19.2115,83.88,88.74,936,240
24,9.793,43.07,48.62,935,240
25,17.5794,76.44,81.1,934,240
26,14.0823,61.74,66.89,933,240
27,9.0194,39.88,45.95,932,240
28,16.2752,70.31,76.25,931,240
29,14.9408,65.23,69.84,930,240
30,14.568,63.83,68.85,929,240
31,14.4069,63.3,68.84,928,240
32,8.2538,36.49,42.46,927,240
33,12.861,56.3,61.4,926,240
34,16.9262,73.78,78.8,925,240
35,12.9075,56.51,61.39,924,240
36,8.9675,39.35,45.07,923,240
37,6.7727,27.78,35.95,922,240
38,14.9294,65.11,70.4,921,240
39,7.4468,32.69,38.67,920,240
40,13.2152,58.04,63.19,919,240
41,14.3426,62.96,68.29,918,240
42,15.2577,66.48,71.54,917,240
43,12.6597,55.66,61.07,916,240
44,15.2133,66.59,71.73,915,240
45,11.8001,51.8,56.87,914,240
46,15.6898,68.36,73.25,913,240
47,15.5329,67.97,73.53,912,240
48,16.1923,70.78,75.78,911,240
49,16.7761,73.38,78.7,910,240
50,15.8693,69.23,74.44,909,240
51,16.4839,71.77,76.46,908,240
52,19.7298,86.11,91.43,907,240
53,11.229,49.5,55.09,906,240
54,13.6807,60.2,66.05,905,240
55,18.6402,80.93,85.6,904,240
56,13.7316,60.18,65.19,903,240
57,13.8166,60.84,66.83,902,240
58,12.4145,54.45,59.92,901,240
59,16.8834,73.84,79.22,900,240
60,13.8623,60.64,65.87,899,240
