lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,1.3687,10.14,14.27,641,162
4,1.5703,11.42,15.95,640,162
5,2.0715,15.05,19.4,639,162
6,1.7216,12.41,17.27,638,162
7,1.616,11.92,15.91,637,162
8,1.7681,12.91,17.26,636,162
9,1.7377,12.43,17.35,635,162
10,1.7068,12.31,16.9,634,162
11,1.6517,11.98,16.54,633,162
12,1.8503,13.47,17.88,632,162
13,1.5119,10.97,15.19,631,162
14,2.3656,17.66,21.18,630,162
15,1.604,11.58,16.11,629,162
16,1.653,12.01,16.51,628,162
17,1.8514,13.84,17.53,627,162
18,2.3252,16.59,22.26,626,162
19,1.9647,14.02,19.78,625,162
20,2.013,15.12,18.26,624,162
21,1.6241,11.78,16.27,623,162
22,1.9274,14.31,18.19,622,162
23,1.7162,12.33,17.3,621,162
24,1.7977,12.8,18.0,620,162
25,2.4549,17.66,23.66,619,162
26,1.8493,13.18,18.77,618,162
27,1.7568,12.86,17.07,617,162
28,1.8873,13.48,18.87,616,162
29,1.8907,13.41,19.14,615,162
30,1.892,13.81,18.31,614,162
31,1.8954,13.47,19.13,613,162
32,1.8618,13.37,18.46,612,162
33,1.8088,13.23,17.34,611,162
34,1.7172,12.29,17.16,610,162
35,1.9433,14.56,17.94,609,162
36,2.0221,14.43,20.33,608,162
37,1.8929,13.6,18.83,607,162
38,2.4347,17.89,22.64,606,162
39,1.7704,12.67,17.81,605,162
40,1.9359,13.76,19.43,604,162
41,2.04,14.92,19.55,603,162
42,2.0596,14.97,19.82,602,162
43,1.7229,12.32,17.34,601,162
44,2.0191,14.66,19.36,600,162
45,1.7768,12.7,17.94,599,162
46,1.8578,13.23,18.73,598,162
47,2.0637,14.81,20.34,597,162
48,1.8271,13.01,18.45,596,162
49,1.8728,13.45,18.68,595,162
50,2.0997,15.69,19.25,594,162
51,1.9148,13.6,19.39,593,162
52,3.1873,23.91,27.52,592,162
53,1.7185,12.41,17.1,591,162
54,1.9201,13.72,18.97,590,162
55,1.9553,14.63,18.02,589,162
56,2.4181,18.43,21.39,588,162
57,2.5606,18.51,24.71,587,162
58,1.7909,12.98,17.59,586,162
59,2.8391,20.49,25.49,585,162
60,1.6971,12.25,16.82,584,162
