lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,4.5775,70.78,89.1,958,241
4,6.6917,104.21,124.92,957,241
5,7.2708,113.62,137.72,956,241
6,7.9191,124.86,155.9,955,241
7,17.2124,264.96,291.5,954,241
8,13.2728,206.73,235.49,953,241
9,7.7856,122.36,154.22,952,241
10,9.047,141.0,169.77,951,241
11,16.4345,254.03,286.0,950,241
12,11.1493,172.95,197.86,949,241
13,10.4404,163.56,199.14,948,241
14,15.0821,232.84,259.33,947,241
15,13.3678,206.28,230.29,946,241
16,19.6179,302.73,334.97,945,241
17,13.1108,203.83,235.5,944,241
18,18.9673,291.32,318.78,943,241
19,18.0901,278.88,308.12,942,241
20,14.6983,226.82,250.92,941,241
21,17.4029,268.29,296.69,940,241
22,19.2428,296.39,326.17,939,241
23,12.0911,188.17,216.88,938,241
24,26.2105,401.01,434.74,937,241
25,10.961,169.42,190.52,936,241
26,17.3394,267.07,293.78,935,241
27,15.8049,245.38,276.76,934,241
28,11.9136,184.3,206.88,933,241
29,16.815,260.34,290.66,932,241
30,18.7698,291.35,328.34,931,241
31,19.6425,303.83,338.73,930,241
32,14.4276,222.4,247.62,929,241
33,25.4856,393.92,434.98,928,241
34,16.4772,254.4,283.47,927,241
35,19.203,295.66,326.15,926,241
36,15.8731,243.88,267.73,925,241
37,15.7274,242.23,268.06,924,241
38,15.9871,246.74,274.17,923,241
39,15.4732,239.5,267.03,922,241
40,16.9724,263.84,300.14,921,241
41,16.0245,247.3,274.46,920,241
42,17.0566,262.9,290.19,919,241
43,17.9989,278.84,312.01,918,241
44,16.6727,257.03,284.06,917,241
45,20.6114,315.68,343.15,916,241
46,15.1444,232.86,255.88,915,241
47,14.9503,230.94,258.32,914,241
48,16.8738,260.6,291.4,913,241
49,17.3047,266.4,293.83,912,241
50,22.6734,347.73,377.95,911,241
51,18.5781,286.86,319.21,910,241
52,16.9288,261.02,290.11,909,241
53,18.1403,278.65,307.55,908,241
54,15.5912,241.19,270.5,907,241
55,16.7426,257.78,284.92,906,241
56,22.0286,336.22,362.63,905,241
57,15.4252,238.57,267.45,904,241
58,9.8325,152.21,174.18,903,241
59,19.2135,297.72,333.32,902,241
60,14.6165,224.81,247.77,901,241
