lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,1.4399,10.25,14.09,958,241
4,1.4664,10.44,14.48,957,241
5,2.5536,18.39,25.7,956,241
6,1.6502,11.86,16.04,955,241
7,1.4665,10.42,14.49,954,241
8,1.7057,12.19,16.74,953,241
9,1.4385,10.22,14.33,952,241
10,1.5443,11.01,15.21,951,241
11,1.5307,10.9,14.94,950,241
12,1.4591,10.39,14.42,949,241
13,1.4791,10.54,14.68,948,241
14,1.5883,11.38,15.4,947,241
15,1.5247,10.82,14.92,946,241
16,1.7078,12.31,16.47,945,241
17,1.4425,10.26,14.43,944,241
18,1.5135,10.81,14.91,943,241
19,1.4581,10.41,14.51,942,241
20,1.4833,10.56,14.67,941,241
21,1.4489,10.31,14.41,940,241
22,1.5163,10.81,14.92,939,241
23,1.4707,10.46,14.49,938,241
24,1.4869,10.62,14.63,937,241
25,1.4997,10.68,14.67,936,241
26,1.4812,10.56,14.58,935,241
27,1.5154,10.79,14.82,934,241
28,1.5652,11.2,15.24,933,241
29,1.5087,10.73,14.78,932,241
30,1.5376,11.0,15.01,931,241
31,1.5432,11.04,15.06,930,241
32,1.4799,10.51,14.51,929,241
33,1.5145,10.83,14.88,928,241
34,1.6137,11.56,15.83,927,241
35,1.4561,10.38,14.51,926,241
36,1.467,10.44,14.52,925,241
37,1.4948,10.65,14.71,924,241
38,1.4649,10.41,14.39,923,241
39,1.4819,10.56,14.61,922,241
40,1.5076,10.74,14.63,921,241
41,1.481,10.53,14.61,920,241
42,1.4895,10.61,14.74,919,241
43,1.5661,11.2,15.35,918,241
44,1.5467,11.08,15.17,917,241
45,1.5368,10.97,15.09,916,241
46,1.4739,10.49,14.52,915,241
47,1.4947,10.67,14.67,914,241
48,1.5046,10.71,14.74,913,241
49,1.4652,10.45,14.48,912,241
50,1.5059,10.71,14.82,911,241
51,1.4925,10.63,14.69,910,241
52,1.4925,10.63,14.63,909,241
53,1.522,10.88,15.01,908,241
54,1.5041,10.71,14.8,907,241
55,1.6459,11.8,15.98,906,241
56,1.4729,10.47,14.53,905,241
57,1.5452,11.0,15.01,904,241
58,1.4907,10.6,14.62,903,241
59,1.5675,11.2,15.23,902,241
60,1.5232,10.83,14.79,901,241
