lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,4.6766,141.53,206.61,956,240
4,8.8314,287.68,382.19,955,240
5,9.3513,307.04,401.04,954,240
6,12.4223,406.88,519.94,953,240
7,10.9384,359.6,464.19,952,240
8,11.928,396.91,506.08,951,240
9,9.4196,310.36,405.86,950,240
10,17.3094,574.67,715.15,949,240
11,8.9927,293.23,378.06,948,240
12,10.6237,351.5,448.97,947,240
13,13.1079,436.27,551.18,946,240
14,11.5846,382.87,489.93,945,240
15,14.9745,496.74,621.16,944,240
16,10.2577,338.36,436.76,943,240
17,10.6565,352.06,450.62,942,240
18,10.9737,362.36,461.31,941,240
19,11.911,394.81,500.25,940,240
20,8.5355,274.94,359.68,939,240
21,11.0636,362.3,459.6,938,240
22,10.4437,343.47,438.15,937,240
23,11.0425,363.22,463.33,936,240
24,10.2828,332.38,424.77,935,240
25,7.856,252.12,336.47,934,240
26,9.1277,297.62,390.96,933,240
27,12.6622,416.8,529.06,932,240
28,6.1612,193.24,267.47,931,240
29,11.8187,388.25,490.17,930,240
30,10.8699,357.18,457.49,929,240
31,13.2185,438.65,552.23,928,240
32,9.0768,294.57,382.01,927,240
33,12.3802,409.0,516.21,926,240
34,10.4776,340.92,440.91,925,240
35,12.9499,427.48,535.43,924,240
36,11.3946,374.13,476.45,923,240
37,13.9225,462.39,591.81,922,240
38,10.8411,354.78,450.69,921,240
39,8.1622,261.99,345.8,920,240
40,11.166,366.91,462.97,919,240
41,10.8666,356.15,450.87,918,240
42,9.9691,328.13,425.31,917,240
43,10.0795,328.52,423.66,916,240
44,8.163,262.19,349.47,915,240
45,10.841,356.52,453.67,914,240
46,12.0664,400.68,510.32,913,240
47,11.2988,372.13,476.07,912,240
48,9.9456,324.53,419.35,911,240
49,9.0857,297.47,388.55,910,240
50,10.844,355.86,450.69,909,240
51,8.927,290.76,375.57,908,240
52,11.2662,371.7,475.0,907,240
53,10.4938,342.9,441.32,906,240
54,13.2924,439.58,552.41,905,240
55,10.0142,328.53,426.04,904,240
56,11.5857,381.39,490.4,903,240
57,10.6389,348.21,446.62,902,240
58,10.2385,336.28,430.98,901,240
59,9.6183,313.39,405.49,900,240
60,11.7338,386.97,492.94,899,240
