lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,4.0052,33.2,51.29,958,241
4,4.5191,35.33,50.94,957,241
5,4.2672,36.4,55.93,956,241
6,4.1214,33.09,49.77,955,241
7,4.039,33.34,51.56,954,241
8,5.5745,48.98,70.21,953,241
9,4.7228,36.98,54.57,952,241
10,4.6717,39.97,61.71,951,241
11,4.8753,39.5,57.2,950,241
12,4.2579,35.21,54.81,949,241
13,4.923,39.1,56.48,948,241
14,5.1354,44.5,65.54,947,241
15,5.2671,46.85,69.38,946,241
16,4.7128,38.88,58.16,945,241
17,5.0007,39.36,57.71,944,241
18,5.9839,45.32,59.4,943,241
19,4.9714,40.0,57.24,942,241
20,4.9326,40.02,59.69,941,241
21,5.0422,41.97,62.02,940,241
22,5.1816,45.73,68.08,939,241
23,4.6433,36.53,52.04,938,241
24,4.4218,37.02,56.01,937,241
25,5.2842,46.05,66.63,936,241
26,5.341,42.79,61.59,935,241
27,5.8648,45.86,62.92,934,241
28,4.4709,36.38,55.14,933,241
29,5.6082,49.23,69.57,932,241
30,7.4023,55.07,68.13,931,241
31,4.6979,37.04,53.71,930,241
32,4.5774,37.13,56.39,929,241
33,5.0674,42.05,61.46,928,241
34,4.7699,39.99,59.02,927,241
35,6.7029,51.64,66.53,926,241
36,4.6093,37.16,55.71,925,241
37,4.7076,37.2,54.49,924,241
38,5.08,39.69,55.36,923,241
39,4.9988,44.02,67.36,922,241
40,5.6158,43.22,61.54,921,241
41,5.5299,47.81,70.37,920,241
42,4.7485,38.37,57.34,919,241
43,4.2419,35.31,53.88,918,241
44,5.216,45.6,66.36,917,241
45,5.241,42.91,63.67,916,241
46,4.8831,39.08,57.32,915,241
47,5.8514,52.61,75.6,914,241
48,6.9341,61.05,84.02,913,241
49,5.945,51.51,73.97,912,241
50,4.534,36.74,55.29,911,241
51,4.4035,36.07,54.57,910,241
52,4.4403,36.91,56.41,909,241
53,5.0897,41.95,62.4,908,241
54,5.6065,49.22,70.67,907,241
55,5.6728,45.55,65.29,906,241
56,4.9149,42.88,65.58,905,241
57,5.155,45.56,69.28,904,241
58,4.7551,38.86,58.98,903,241
59,4.8621,37.95,55.0,902,241
60,5.1025,42.48,62.05,901,241
