lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,1.4446,7.59,12.74,958,241
4,1.4308,7.48,12.96,957,241
5,1.6042,8.34,14.57,956,241
6,1.5384,7.99,13.97,955,241
7,1.813,9.37,15.91,954,241
8,1.896,9.94,15.94,953,241
9,1.8435,9.65,15.55,952,241
10,2.1394,10.86,18.69,951,241
11,2.1912,11.0,19.55,950,241
12,2.5391,13.08,21.01,949,241
13,1.3821,7.25,12.47,948,241
14,1.9349,9.93,16.95,947,241
15,1.8731,9.77,15.81,946,241
16,1.7352,9.2,14.32,945,241
17,1.7569,8.99,15.78,944,241
18,1.4124,7.43,12.65,943,241
19,2.2826,11.97,18.34,942,241
20,1.5216,7.84,13.82,941,241
21,1.636,8.67,13.86,940,241
22,2.0346,10.49,17.4,939,241
23,1.7886,9.46,14.79,938,241
24,1.6139,8.54,13.64,937,241
25,1.8965,9.61,17.02,936,241
26,1.558,8.05,14.08,935,241
27,1.8072,9.4,15.47,934,241
28,1.5175,7.87,13.46,933,241
29,1.8722,9.77,15.84,932,241
30,1.8903,9.57,16.95,931,241
31,1.5732,8.26,13.63,930,241
32,1.5436,7.96,13.91,929,241
33,2.2997,11.75,19.18,928,241
34,1.913,9.73,17.07,927,241
35,1.5145,7.82,13.8,926,241
36,2.298,11.7,19.12,925,241
37,1.7455,9.34,14.11,924,241
38,1.3345,7.03,11.8,923,241
39,1.4023,7.37,12.59,922,241
40,1.5578,8.02,14.08,921,241
41,2.1104,11.0,17.53,920,241
42,1.5817,8.24,13.91,919,241
43,1.4825,7.67,13.42,918,241
44,1.678,8.56,15.16,917,241
45,2.5493,13.36,20.05,916,241
46,1.6048,8.31,14.27,915,241
47,1.7287,9.02,14.87,914,241
48,1.8863,9.6,17.02,913,241
49,1.5822,8.1,14.45,912,241
50,1.6613,8.54,14.7,911,241
51,2.2339,11.88,17.39,910,241
52,1.7712,9.12,15.69,909,241
53,1.5315,7.96,13.74,908,241
54,1.5584,8.31,13.22,907,241
55,1.8579,9.44,16.68,906,241
56,1.5273,7.88,13.94,905,241
57,1.6055,8.29,14.44,904,241
58,2.0078,10.48,16.81,903,241
59,1.8762,9.95,15.17,902,241
60,1.6653,8.54,15.08,901,241
