lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,4.0918,112.19,162.48,957,241
4,6.1344,182.35,249.35,956,241
5,6.7426,197.06,263.43,955,241
6,5.1518,148.1,211.79,954,241
7,5.3672,152.98,217.13,953,241
8,5.4651,155.03,218.53,952,241
9,6.9497,200.71,269.91,951,241
10,10.7598,315.7,402.08,950,241
11,7.4492,217.19,297.73,949,241
12,12.1838,358.71,446.89,948,241
13,14.9428,439.87,539.64,947,241
14,8.7461,229.92,297.49,946,241
15,16.8782,491.28,581.07,945,241
16,8.2884,246.88,342.8,944,241
17,11.4258,339.3,438.28,943,241
18,12.2106,363.66,461.75,942,241
19,13.3227,393.45,488.32,941,241
20,11.0695,328.78,420.33,940,241
21,18.1161,529.05,625.38,939,241
22,14.7634,433.07,521.73,938,241
23,14.0463,415.15,515.25,937,241
24,17.522,507.45,592.97,936,241
25,13.2452,388.49,475.65,935,241
26,21.8848,626.19,704.78,934,241
27,16.2109,473.13,565.25,933,241
28,15.4626,451.68,541.41,932,241
29,16.6597,484.0,568.71,931,241
30,15.062,436.69,516.19,930,241
31,16.176,471.66,560.2,929,241
32,10.2303,307.64,410.14,928,241
33,17.0712,497.24,586.43,927,241
34,11.1515,335.29,439.27,926,241
35,14.3433,417.15,498.94,925,241
36,10.2997,309.45,409.52,924,241
37,11.5478,338.26,419.05,923,241
38,13.8261,405.15,494.78,922,241
39,9.39,278.59,367.33,921,241
40,5.9476,172.67,244.24,920,241
41,9.9562,297.94,389.34,919,241
42,8.4895,254.01,345.65,918,241
43,9.012,267.16,353.03,917,241
44,5.4359,151.67,215.62,916,241
45,14.0469,415.97,511.66,915,241
46,8.9238,262.45,345.9,914,241
47,16.3272,473.74,558.92,913,241
48,7.3324,213.22,300.4,912,241
49,9.3154,276.96,366.45,911,241
50,12.2444,360.52,447.99,910,241
51,5.6667,161.02,229.45,909,241
52,12.5358,364.95,444.8,908,241
53,17.4027,507.53,599.52,907,241
54,9.247,274.96,369.66,906,241
55,12.6578,369.89,455.48,905,241
56,14.0109,408.64,491.88,904,241
57,6.7491,195.98,273.36,903,241
58,7.6571,221.92,295.91,902,241
59,9.3096,273.58,360.01,901,241
60,10.1477,299.55,386.03,900,241
