lookback,mape_pct,mae_idr,rmse_idr,train_seq,test_seq
3,1.4377,109.94,142.86,955,240
4,1.7375,134.27,166.97,954,240
5,1.9703,153.72,185.35,953,240
6,1.9992,157.88,186.44,952,240
7,1.7777,139.89,168.12,951,240
8,2.1857,173.98,205.77,950,240
9,3.1361,250.32,290.7,949,240
10,1.7366,136.06,164.91,948,240
11,2.1896,173.71,207.29,947,240
12,1.4589,113.05,142.5,946,240
13,2.4004,191.63,225.81,945,240
14,2.2164,175.82,207.99,944,240
15,2.1575,171.35,203.42,943,240
16,1.919,151.52,182.54,942,240
17,1.9632,155.92,189.11,941,240
18,1.887,149.22,178.39,940,240
19,2.4029,190.83,225.53,939,240
20,1.6997,133.25,161.26,938,240
21,2.0557,163.29,195.79,937,240
22,2.0877,165.35,196.74,936,240
23,2.8069,224.21,262.43,935,240
24,1.815,143.11,172.25,934,240
25,1.9761,156.39,186.61,933,240
26,1.9336,153.52,184.28,932,240
27,2.169,171.61,204.27,931,240
28,1.5549,120.74,149.44,930,240
29,1.5734,122.23,151.1,929,240
30,3.288,265.53,322.95,928,240
31,1.6925,132.89,161.13,927,240
32,2.2027,174.62,206.15,926,240
33,2.7697,218.51,249.84,925,240
34,2.3,183.08,217.51,924,240
35,2.1876,171.53,202.49,923,240
36,1.7879,140.25,168.09,922,240
37,2.1213,166.44,198.29,921,240
38,2.1004,165.74,198.12,920,240
39,2.0415,161.63,189.91,919,240
40,1.4243,110.31,137.09,918,240
41,2.0895,165.32,197.38,917,240
42,2.4188,190.66,220.73,916,240
43,2.1048,166.05,194.27,915,240
44,2.3977,189.19,223.71,914,240
45,1.7577,137.96,164.02,913,240
46,1.9452,152.25,183.01,912,240
47,2.4775,197.28,232.17,911,240
48,2.1312,169.26,204.72,910,240
49,1.6622,129.77,157.19,909,240
50,2.6508,212.14,247.9,908,240
51,2.1513,170.1,199.45,907,240
52,1.9367,152.55,182.9,906,240
53,2.5924,204.22,237.45,905,240
54,1.7238,134.49,162.8,904,240
55,2.0957,164.45,195.57,903,240
56,2.0103,158.62,188.61,902,240
57,1.7584,137.67,166.29,901,240
58,1.8719,148.17,177.66,900,240
59,2.1167,167.95,199.87,899,240
60,2.6957,214.18,249.62,898,240
